Title;Author;Avg Rating;Ratings
The Girl with the Dragon Tattoo (Millennium, #1);Stieg Larsson;4.15;2,832,503
Rebecca;Daphne du Maurier;4.23;524,020
My Sister's Keeper;Jodi Picoult;4.08;1,113,603
The Color Purple;Alice Walker;4.24;573,951
Harry Potter and the Prisoner of Azkaban (Harry Potter, #3);J.K. Rowling;4.57;3,223,825
A Tree Grows in Brooklyn;Betty  Smith;4.28;413,768
The Brothers Karamazov;Fyodor Dostoevsky;4.32;271,318
A Clockwork Orange;Anthony Burgess;3.99;653,067
The Road;Cormac McCarthy;3.97;781,940
1984;George Orwell;4.19;3,597,226
Angela's Ashes (Frank McCourt, #1);Frank McCourt;4.12;577,622
Vampire Academy (Vampire Academy, #1);Richelle Mead;4.11;601,814
Siddhartha;Hermann Hesse;4.04;645,476
The Poisonwood Bible;Barbara Kingsolver;4.07;688,654
Don Quixote;Miguel de Cervantes Saavedra;3.88;232,710
Atlas Shrugged;Ayn Rand;3.69;369,905
The Old Man and the Sea;Ernest Hemingway;3.79;930,551
The Notebook (The Notebook, #1);Nicholas Sparks;4.12;1,442,319
Winnie-the-Pooh (Winnie-the-Pooh, #1);A.A. Milne;4.31;298,687
The Complete Stories and Poems;Edgar Allan Poe;4.37;237,590
A Prayer for Owen Meany;John Irving;4.23;297,427
Moby-Dick or, the Whale;Herman Melville;3.52;504,745
Harry Potter and the Goblet of Fire (Harry Potter, #4);J.K. Rowling;4.56;2,907,045
Harry Potter and the Half-Blood Prince (Harry Potter, #6);J.K. Rowling;4.57;2,714,348
Clockwork Angel (The Infernal Devices, #1);Cassandra Clare;4.30;754,093
The Secret Life of Bees;Sue Monk Kidd;4.07;1,181,778
The Red Tent;Anita Diamant;4.18;549,450
And Then There Were None;Agatha Christie;4.26;991,537
The Stranger;Albert Camus;3.99;809,530
The Shining;Stephen King;4.24;1,248,139
The Name of the Wind (The Kingkiller Chronicle, #1);Patrick Rothfuss;4.51;803,131
The Master and Margarita;Mikhail Bulgakov;4.28;276,609
Middlesex;Jeffrey Eugenides;4.01;608,016
Eragon (The Inheritance Cycle, #1);Christopher Paolini;3.92;1,556,455
The Adventures of Tom Sawyer;Mark Twain;3.92;821,753
Flowers for Algernon;Daniel Keyes;4.16;536,030
The Metamorphosis;Franz Kafka;3.83;746,357
Harry Potter and the Chamber of Secrets (Harry Potter, #2);J.K. Rowling;4.43;3,088,995
Charlie and the Chocolate Factory (Charlie Bucket, #1);Roald Dahl;4.14;736,689
The Curious Incident of the Dog in the Night-Time;Mark Haddon;3.89;1,304,797
The Shadow of the Wind (The Cemetery of Forgotten Books, #1);Carlos Ruiz Zafón;4.27;532,206
On the Road;Jack Kerouac;3.62;374,718
The Very Hungry Caterpillar;Eric Carle;4.29;439,068
Tuesdays with Morrie;Mitch Albom;4.12;856,684
The Unbearable Lightness of Being;Milan Kundera;4.10;380,041
The Name of the Rose;Umberto Eco;4.13;329,429
Where the Red Fern Grows;Wilson Rawls;4.08;368,170
The Godfather (The Godfather, #1);Mario Puzo;4.35;369,866
The Scarlet Letter;Nathaniel Hawthorne;3.42;758,816
In Cold Blood;Truman Capote;4.06;587,698
The Count of Monte Cristo;Alexandre Dumas;4.26;804,675
The Last Olympian (Percy Jackson and the Olympians, #5);Rick Riordan;4.50;776,346
Fight Club;Chuck Palahniuk;4.18;537,188
The Five People You Meet in Heaven;Mitch Albom;3.95;624,039
The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1);C.S. Lewis;4.22;2,349,510
It;Stephen King;4.24;904,052
Perfume: The Story of a Murderer;Patrick Süskind;4.02;382,727
The Hobbit, or There and Back Again;J.R.R. Tolkien;4.28;3,209,947
Hush, Hush (Hush, Hush, #1);Becca Fitzpatrick;3.94;639,461
Holes (Holes, #1);Louis Sachar;3.98;1,055,727
The Cat in the Hat (The Cat in the Hat, #1);Dr. Seuss;4.16;479,114
American Gods (American Gods, #1);Neil Gaiman;4.10;826,188
Lonesome Dove (Lonesome Dove #1);Larry McMurtry;4.48;165,372
Watchmen;Alan Moore;4.37;512,125
The Divine Comedy;Dante Alighieri;4.04;135,262
The Addiction Manifesto;Jerry Weaver;4.97;551
1984;George Orwell;4.19;3,597,226
The Little House Collection (Little House, #1-9);Laura Ingalls Wilder;4.34;147,273
Peter Pan;J.M. Barrie;4.02;315,417
Love in the Time of Cholera;Gabriel García Márquez;3.92;447,761
The Compleat Works of Wllm Shkspr;Reduced Shakespeare Company;4.44;8,672
The Thorn Birds;Colleen McCullough;4.22;332,992
A Walk to Remember;Nicholas Sparks;4.18;725,480
Shadow Kiss (Vampire Academy, #3);Richelle Mead;4.32;352,893
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch;Terry Pratchett;4.23;613,264
How the Grinch Stole Christmas!;Dr. Seuss;4.34;365,166
The Importance of Being Earnest;Oscar Wilde;4.17;325,783
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5);Douglas Adams;4.35;306,879
Their Eyes Were Watching God;Zora Neale Hurston;3.96;292,327
Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia;Elizabeth Gilbert;3.59;1,585,239
Atonement;Ian McEwan;3.91;472,813
The Three Musketeers (The D'Artagnan Romances, #1);Alexandre Dumas;4.07;292,769
The Wonderful Wizard of Oz (Oz, #1);L. Frank Baum;3.97;409,522
Frostbite (Vampire Academy, #2);Richelle Mead;4.24;339,251
Clockwork Princess (The Infernal Devices, #3);Cassandra Clare;4.54;394,858
The Battle of the Labyrinth (Percy Jackson and the Olympians, #4);Rick Riordan;4.39;849,696
Goodnight Moon;Margaret Wise Brown;4.28;333,236
The Lorax;Dr. Seuss;4.32;311,864
The Titan's Curse (Percy Jackson and the Olympians, #3);Rick Riordan;4.34;801,582
A Midsummer Night's Dream;William Shakespeare;3.95;475,970
Blood Promise (Vampire Academy, #4);Richelle Mead;4.29;302,690
Tess of the D'Urbervilles;Thomas Hardy;3.81;253,110
The Sea of Monsters (Percy Jackson and the Olympians, #2);Rick Riordan;4.24;874,837
Heart of Darkness;Joseph Conrad;3.44;457,628
The Good Earth (House of Earth, #1);Pearl S. Buck;3.99;233,574
The Prophet;Kahlil Gibran;4.21;260,527
The Mists of Avalon (Avalon, #1);Marion Zimmer Bradley;4.11;202,107
The Maze Runner (The Maze Runner, #1);James Dashner;4.03;1,218,470
The Hunger Games Trilogy Boxset (The Hunger Games, #1-3);Suzanne Collins;4.48;198,797
The Call of the Wild;Jack London;3.88;373,139
Alice in Wonderland;Jane Carruth;4.02;389,287
Bridge to Terabithia;Katherine Paterson;4.01;489,041
The Joy Luck Club;Amy Tan;3.94;628,468
Jonathan Livingston Seagull;Richard Bach;3.85;221,732
Madame Bovary;Gustave Flaubert;3.69;280,931
The Phantom Tollbooth;Norton Juster;4.16;271,116
Oliver Twist;Charles Dickens;3.87;346,167
The Neverending Story;Michael Ende;4.15;184,581
Oh, the Places You'll Go!;Dr. Seuss;4.33;362,099
The Girl Who Played with Fire (Millennium, #2);Stieg Larsson;4.24;861,900
Treasure Island;Robert Louis Stevenson;3.84;434,791
Ulysses;James Joyce;3.73;118,523
Fifty Shades of Grey (Fifty Shades, #1);E.L. James;3.66;2,163,496
A Storm of Swords (A Song of Ice and Fire, #3);George R.R. Martin;4.53;704,486
The Clan of the Cave Bear (Earth's Children #1);Jean M. Auel;4.07;243,912
Murder on the Orient Express (Hercule Poirot, #10);Agatha Christie;4.18;458,080
The Canterbury Tales;Geoffrey Chaucer;3.52;203,081
The World According to Garp;John Irving;4.09;212,652
A Farewell to Arms;Ernest Hemingway;3.81;282,221
David Copperfield;Charles Dickens;4.01;210,931
Throne of Glass (Throne of Glass, #1);Sarah J. Maas;4.18;761,345
Catching Fire (The Hunger Games, #2);Suzanne Collins;4.30;2,831,787
Thirteen Reasons Why;Jay Asher;3.88;850,930
The Boy in the Striped Pajamas;John Boyne;4.15;619,536
The Selection (The Selection, #1);Kiera Cass;4.11;1,131,645
Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1);Gregory Maguire;3.54;586,722
The Night Circus;Erin Morgenstern;4.03;788,195
Jurassic Park (Jurassic Park, #1);Michael Crichton;4.06;854,342
A Little Princess;Frances Hodgson Burnett;4.20;286,656
His Dark Materials (His Dark Materials #1-3);Philip Pullman;4.25;154,850
Shōgun;James Clavell;4.39;158,074
Extremely Loud & Incredibly Close;Jonathan Safran Foer;3.96;404,958
Schindler's List;Thomas Keneally;4.31;156,642
The Lost Hero (The Heroes of Olympus, #1);Rick Riordan;4.31;709,975
Beloved;Toni Morrison;3.90;359,128
The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9);Philippa Gregory;4.07;475,925
Last Sacrifice (Vampire Academy, #6);Richelle Mead;4.36;276,213
Fallen (Fallen, #1);Lauren Kate;3.72;542,928
The Silmarillion;J.R.R. Tolkien;3.94;241,935
The Secret Magdalene;Ki Longfellow;4.10;4,763
The Trial;Franz Kafka;3.95;263,808
The Velveteen Rabbit;Margery Williams Bianco;4.26;242,082
A Confederacy of Dunces;John Kennedy Toole;3.88;247,725
Clockwork Prince (The Infernal Devices, #2);Cassandra Clare;4.41;500,524
The Sun Also Rises;Ernest Hemingway;3.81;386,168
The Iliad/The Odyssey;Homer;4.05;67,314
Spirit Bound (Vampire Academy, #5);Richelle Mead;4.31;282,159
Cinder (The Lunar Chronicles, #1);Marissa Meyer;4.13;783,412
The Crucible;Arthur  Miller;3.60;354,251
Man's Search for Meaning;Viktor E. Frankl;4.35;505,775
Cat's Cradle;Kurt Vonnegut Jr.;4.16;358,930
The God of Small Things;Arundhati Roy;3.94;264,628
The Silence of the Lambs  (Hannibal Lecter, #2);Thomas  Harris;4.21;511,529
The Diary of a Young Girl;Anne Frank;4.16;3,088,144
The Wind in the Willows;Kenneth Grahame;3.98;193,956
The Screwtape Letters;C.S. Lewis;4.23;368,656
The Hiding Place: The Triumphant True Story of Corrie Ten Boom;Corrie ten Boom;4.41;287,568
A Light in the Attic;Shel Silverstein;4.33;404,817
Girl with a Pearl Earring;Tracy Chevalier;3.91;669,754
City of Fallen Angels (The Mortal Instruments, #4);Cassandra Clare;4.09;541,004
Uglies (Uglies, #1);Scott Westerfeld;3.85;606,664
The Phantom of the Opera;Gaston Leroux;3.96;213,011
The Secret History;Donna Tartt;4.11;400,016
Ella Enchanted (Ella Enchanted #1);Gail Carson Levine;3.98;408,171
She's Come Undone;Wally Lamb;3.89;326,484
Shiver (The Wolves of Mercy Falls, #1);Maggie Stiefvater;3.76;465,177
The Green Mile;Stephen King;4.45;271,890
A Clash of Kings  (A Song of Ice and Fire, #2);George R.R. Martin;4.40;838,575
The Wind-Up Bird Chronicle;Haruki Murakami;4.15;239,913
Marley and Me: Life and Love With the World's Worst Dog;John Grogan;4.12;462,621
Six of Crows (Six of Crows, #1);Leigh Bardugo;4.47;556,353
Blindness;José Saramago;4.15;231,112
The Shack;William Paul Young;3.78;581,713
Howl’s Moving Castle (Howl’s Moving Castle, #1);Diana Wynne Jones;4.25;261,025
The Sound and the Fury;William Faulkner;3.86;165,621
Marked (House of Night, #1);P.C. Cast;3.80;465,565
Misery;Stephen King;4.18;567,909
The Guernsey Literary and Potato Peel Pie Society;Mary Ann Shaffer;4.17;670,481
The House of the Spirits;Isabel Allende;4.25;213,085
Fear and Loathing in Las Vegas;Hunter S. Thompson;4.07;321,459
For Whom the Bell Tolls;Ernest Hemingway;3.97;263,537
The Complete Calvin and Hobbes;Bill Watterson;4.77;38,152
Gone Girl;Gillian Flynn;4.09;2,577,829
Roots: The Saga of an American Family;Alex Haley;4.42;155,251
Island of the Blue Dolphins;Scott O'Dell;3.84;315,144
Stranger in a Strange Land;Robert A. Heinlein;3.92;290,443
The Girl Who Kicked the Hornet's Nest (Millennium, #3);Stieg Larsson;4.22;690,588
A Court of Mist and Fury (A Court of Thorns and Roses, #2);Sarah J. Maas;4.59;550,537
Paper Towns;John Green;3.76;1,076,037
Speak;Laurie Halse Anderson;4.03;519,795
Beautiful Disaster (Beautiful, #1);Jamie McGuire;4.06;602,686
White Oleander;Janet Fitch;3.97;336,586
Blood River: A Journey to Africa's Broken Heart;Tim Butcher;3.86;13,339
Delirium (Delirium, #1);Lauren Oliver;3.96;447,184
The Idiot;Fyodor Dostoevsky;4.18;149,205
Flow Down Like Silver: Hypatia of Alexandria;Ki Longfellow;3.78;7,420
Othello;William Shakespeare;3.89;341,071
Norwegian Wood;Haruki Murakami;4.03;423,970
Inkheart (Inkworld, #1);Cornelia Funke;3.89;404,655
King Lear;William Shakespeare;3.90;196,442
The Vampire Lestat (The Vampire Chronicles, #2);Anne Rice;4.06;187,428
The Once and Future King (The Once and Future King, #1-4);T.H. White;4.04;109,033
Into the Wild;Jon Krakauer;3.99;953,879
Neverwhere (London Below, #1);Neil Gaiman;4.16;469,745
I Know This Much Is True;Wally Lamb;4.19;297,355
Uncle Tom's Cabin;Harriet Beecher Stowe;3.88;210,892
The Complete Sherlock Holmes;Arthur Conan Doyle;4.46;187,596
Kafka on the Shore;Haruki Murakami;4.13;359,950
Candide;Voltaire;3.77;238,674
Lamb: The Gospel According to Biff, Christ's Childhood Pal;Christopher Moore;4.20;166,472
The Historian;Elizabeth Kostova;3.79;259,129
Paradise Lost;John Milton;3.81;151,480
Invisible Man;Ralph Ellison;3.89;166,835
The Time Machine;H.G. Wells;3.90;457,502
The Things They Carried;Tim O'Brien;4.13;274,929
Graceling (Graceling Realm, #1);Kristin Cashore;4.06;427,561
James and the Giant Peach;Roald Dahl;4.01;418,309
The Complete Works;William Shakespeare;4.46;54,138
All Creatures Great and Small (All Creatures Great and Small, #1);James Herriot;4.29;133,013
Leaves of Grass;Walt Whitman;4.11;93,283
Different Seasons;Stephen King;4.32;190,604
The Thirteenth Tale;Diane Setterfield;3.96;296,472
Foundation (Foundation, #1);Isaac Asimov;4.17;455,857
Una Historia de Ayer;Sergio Cobo;4.45;23,354
The Cider House Rules;John Irving;4.14;168,931
City of Lost Souls (The Mortal Instruments, #5);Cassandra Clare;4.23;478,173
Sophie's World;Jostein Gaarder;3.94;226,229
Are You There God? It's Me, Margaret;Judy Blume;3.90;204,066
Never Let Me Go;Kazuo Ishiguro;3.83;547,939
Mockingjay (The Hunger Games, #3);Suzanne Collins;4.05;2,616,237
The Wise Man's Fear (The Kingkiller Chronicle, #2);Patrick Rothfuss;4.53;476,452
Walden;Henry David Thoreau;3.77;176,988
The Son of Neptune (The Heroes of Olympus, #2);Rick Riordan;4.41;476,213
The Lord of the Rings;J.R.R. Tolkien;4.50;608,906
Ready Player One (Ready Player One, #1);Ernest Cline;4.24;985,419
The Way of Kings (The Stormlight Archive, #1);Brandon Sanderson;4.60;365,860
The Awakening;Kate Chopin;3.66;180,840
Sophie's Choice;William Styron;4.18;85,520
The Mark of Athena (The Heroes of Olympus, #3);Rick Riordan;4.44;498,372
زندگی مه آلود پریا;سید مرتضی مصطفوی;3.89;957
The Prince of Tides;Pat Conroy;4.23;200,975
Fried Green Tomatoes at the Whistle Stop Cafe;Fannie Flagg;4.27;281,822
Mrs. Dalloway;Virginia Woolf;3.79;248,028
Dead Until Dark (Sookie Stackhouse, #1);Charlaine Harris;3.96;522,928
Legend (Legend, #1);Marie Lu;4.16;467,656
Fifty Shades Darker (Fifty Shades, #2);E.L. James;3.83;805,148
Me Before You (Me Before You, #1);Jojo Moyes;4.25;1,311,238
Middlemarch;George Eliot;3.99;143,807
Wonder (Wonder, #1);R.J. Palacio;4.40;879,835
The Monster at the End of this Book;Jon Stone;4.44;123,066
Things Fall Apart (The African Trilogy, #1);Chinua Achebe;3.71;316,092
Bridget Jones's Diary (Bridget Jones, #1);Helen Fielding;3.79;915,308
Do Androids Dream of Electric Sheep?;Philip K. Dick;4.08;386,889
The Magician's Nephew (Chronicles of Narnia, #6);C.S. Lewis;4.04;459,555
A Time to Kill (Jake Brigance, #1);John Grisham;4.08;754,798
Franny and Zooey;J.D. Salinger;3.97;195,951
Stardust;Neil Gaiman;4.08;395,531
The Final Empire (Mistborn, #1);Brandon Sanderson;4.44;478,741
The Power of One (The Power of One, #1);Bryce Courtenay;4.31;84,850
Number the Stars;Lois Lowry;4.15;496,285
The Hound of the Baskervilles (Sherlock Holmes, #5);Arthur Conan Doyle;4.12;289,429
The Gunslinger (The Dark Tower, #1);Stephen King;3.94;551,936
Black Beauty;Anna Sewell;3.97;256,362
The Art of Racing in the Rain;Garth Stein;4.21;475,402
A Short History of Nearly Everything;Bill Bryson;4.18;340,736
If I Stay;Gayle Forman;3.93;776,092
V for Vendetta;Alan Moore;4.25;286,488
American Psycho;Bret Easton Ellis;3.82;268,813
Allegiant (Divergent, #3);Veronica Roth;3.62;916,332
The Graveyard Book;Neil Gaiman;4.13;484,465
The Witches;Roald Dahl;4.15;353,755
A Portrait of the Artist as a Young Man;James Joyce;3.62;135,583
Gulliver's Travels: Travels into Several Remote Nations of the World.;Jonathan Swift;3.58;247,090
White Fang;Jack London;3.99;167,599
Bel Canto;Ann Patchett;3.92;257,381
The Complete Novels;Jane Austen;4.57;30,844
Fifty Shades Freed (Fifty Shades, #3);E.L. James;3.84;768,567
Love You Forever;Robert Munsch;4.35;217,708
القرآن الكريم;Anonymous;4.36;61,204
Beowulf;Unknown;3.46;263,176
East of Eden;John Steinbeck;4.38;463,857
The Song of Achilles;Madeline Miller;4.41;542,066
The Martian;Andy Weir;4.40;922,197
The Complete Maus;Art Spiegelman;4.51;165,299
Tuck Everlasting;Natalie Babbitt;3.88;256,995
Eldest (The Inheritance Cycle, #2);Christopher Paolini;3.99;394,638
Cold Mountain;Charles Frazier;3.87;231,443
Steppenwolf;Hermann Hesse;4.13;150,732
The Eye of the World (The Wheel of Time, #1);Robert Jordan;4.17;438,562
Beautiful Creatures (Caster Chronicles, #1);Kami Garcia;3.76;577,963
Dark Lover (Black Dagger Brotherhood, #1);J.R. Ward;4.16;316,308
Go Ask Alice;Beatrice Sparks;3.75;252,905
The Tell-Tale Heart and Other Writings;Edgar Allan Poe;4.18;229,195
Shatter Me (Shatter Me, #1);Tahereh Mafi;3.92;370,594
A Separate Peace;John Knowles;3.59;199,848
As I Lay Dying;William Faulkner;3.72;145,471
Brisingr (The Inheritance Cycle, #3);Christopher Paolini;4.05;335,434
"A Child Called ""It"" (Dave Pelzer, #1)";Dave Pelzer;4.11;401,198
The Amazing Adventures of Kavalier & Clay;Michael Chabon;4.17;191,927
Mansfield Park;Jane Austen;3.86;305,866
Tao Te Ching;Lao Tzu;4.26;136,056
Obsidian (Lux, #1);Jennifer L. Armentrout;4.14;262,596
Cloud Atlas;David Mitchell;3.99;236,251
'Salem's Lot;Stephen King;4.04;368,882
The Martian Chronicles;Ray Bradbury;4.15;229,852
Stargirl (Stargirl, #1);Jerry Spinelli;3.76;315,764
Dear John;Nicholas Sparks;4.03;568,232
Hamlet;William Shakespeare;4.03;799,057
The Last Song;Nicholas Sparks;4.15;527,900
Robinson Crusoe (Robinson Crusoe, #1);Daniel Defoe;3.68;266,712
Midnight's Children;Salman Rushdie;3.98;110,486
The English Patient;Michael Ondaatje;3.87;121,539
The Amber Spyglass;Philip Pullman;4.08;331,312
The Firm;Robin Waterfield;4.03;598,231
Harry Potter Series Box Set (Harry Potter, #1-7);J.K. Rowling;4.72;267,983
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1);Robert M. Pirsig;3.76;218,917
Doctor Zhivago;Boris Pasternak;3.99;91,199
The BFG;Roald Dahl;4.20;421,011
Room;Emma Donoghue;4.06;767,793
My Ántonia (Great Plains Trilogy, #3);Willa Cather;3.81;126,260
City of Heavenly Fire (The Mortal Instruments, #6);Cassandra Clare;4.39;337,675
11/22/63;Stephen King;4.29;471,874
Like Water for Chocolate;Laura Esquivel;3.95;338,088
A Court of Thorns and Roses (A Court of Thorns and Roses, #1);Sarah J. Maas;4.18;775,211
All the Light We Cannot See;Anthony Doerr;4.32;1,206,402
Dr. Jekyll and Mr. Hyde;Robert Louis Stevenson;3.83;440,037
Dragonfly in Amber (Outlander, #2);Diana Gabaldon;4.32;313,861
Breakfast of Champions;Kurt Vonnegut Jr.;4.07;238,177
Breakfast at Tiffany's and Three Stories;Truman Capote;3.87;225,958
The Plague;Albert Camus;4.01;201,855
The Subtle Knife (His dark materials, #2);Philip Pullman;4.13;403,686
A Fine Balance;Rohinton Mistry;4.34;139,332
The Origin of Species;Charles Darwin;3.98;108,684
Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1);Laini Taylor;3.98;351,750
Midnight in the Garden of Good and Evil;John Berendt;3.91;248,344
Death of a Salesman;Arthur  Miller;3.54;204,007
Evermore (The Immortals, #1);Alyson Noel;3.59;284,667
A Streetcar Named Desire;Tennessee Williams;3.98;277,327
The Prince;Niccolò Machiavelli;3.82;288,110
The Remains of the Day;Kazuo Ishiguro;4.13;232,035
The House of Hades (The Heroes of Olympus, #4);Rick Riordan;4.51;318,747
Crooked Kingdom (Six of Crows, #2);Leigh Bardugo;4.59;368,920
Infinite Jest;David Foster Wallace;4.26;81,155
Hopeless (Hopeless, #1);Colleen Hoover;4.27;307,392
Matched (Matched, #1);Ally Condie;3.65;712,142
A Feast for Crows (A Song of Ice and Fire, #4);George R.R. Martin;4.14;668,071
Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1);Ransom Riggs;3.91;1,094,263
Faust, First Part;Johann Wolfgang von Goethe;3.90;65,274
Snow Flower and the Secret Fan;Lisa See;4.07;356,505
War and Peace;Leo Tolstoy;4.13;288,972
Houdini Heart;Ki Longfellow;3.75;10,443
The Grapes of Wrath;John Steinbeck;3.98;806,180
Flowers in the Attic (Dollanganger, #1);V.C. Andrews;3.82;179,989
Unbroken: A World War II Story of Survival, Resilience and Redemption;Laura Hillenbrand;4.35;846,587
The Scarlet Pimpernel;Emmuska Orczy;4.05;131,421
The Angel Experiment (Maximum Ride, #1);James Patterson;4.06;218,725
العصبي;أحمد جمال الدين رمضان;4.55;2,260
انتحار فاشل;أحمد جمال الدين رمضان;4.53;2,624
Heir of Fire (Throne of Glass, #3);Sarah J. Maas;4.44;382,276
Blood Meridian, or the Evening Redness in the West;Cormac McCarthy;4.16;120,291
The Chosen (Reuven Malther #1);Chaim Potok;4.04;90,608
Artemis Fowl (Artemis Fowl, #1);Eoin Colfer;3.85;535,326
The Shipping News;Annie Proulx;3.87;135,444
Pippi Longstocking (Pippi Långstrump, #1);Astrid Lindgren;4.13;182,094
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1);Benjamin Alire Sáenz;4.34;360,201
Jonathan Strange & Mr Norrell;Susanna Clarke;3.83;221,697
High Fidelity;Nick Hornby;3.92;183,922
Shantaram;Gregory David Roberts;4.23;190,670
The Host (The Host, #1);Stephenie Meyer;3.85;953,007
The Tales of Beedle the Bard;J.K. Rowling;4.04;450,357
